cluster,crime,game,play,sing,video,police,alcohol,cctv
1,3256.333333,306.7777778,98.44444444,194.8888889,7,8.222222222,3648.444444,2218.222222
2,3860,313.5,327,94.5,14.5,17.5,6670,1507.5
3,3566.333333,623.1666667,156.3333333,294.6666667,7.666666667,8.5,3578.5,1602.166667
4,5807,546,252,506,32,10,6712,1586
5,5033.833333,452,241.6666667,312.6666667,3.833333333,9.333333333,5773,2682.333333
6,7513,611,481,277,5,14,11727,5221
,,,,,,,,
cluster,crime,game,play,sing,video,police,alcohol,cctv
1,6,6,6,5,4,6,5,3
2,4,5,2,6,2,1,3,6
3,5,1,5,3,3,5,6,4
4,2,3,3,1,1,3,2,5
5,3,4,4,2,6,4,4,2
6,1,2,1,4,5,2,1,1
